id,name,city,main_category,sub_category,size_category,type_mode,phone,address,google_maps_url,specialization,equipment,source_notes,icu_ambulance,cardiac_ambulance,neonatal_ambulance,ventilator_ambulance,nurse_support,multi_specialty,patient_shifting,dead_body_transport,tn_to_wb,wb_to_tn,created_at,updated_at
amb-tnwb-1787046229970-3dt7ag,Med Cab Ambulance,Kolkata,local,private,medium,"Road, ICU",18008-908-208 (toll-free),Kolkata (WB) -> Chennai (TN),,,,,true,false,false,false,true,true,true,true,true,false,2026-08-18T09:43:49.970Z,2026-08-18T09:43:49.970Z
amb-tnwb-1787046231196-w0qrtf,ICATT Air Ambulance,Multi-city (HQ Chennai),flight,private,large,Air Ambulance,+91 9701111156,Kolkata (WB) -> Chennai (TN),,,,Coordinates return-leg air ambulance transfers into Chennai and Vellore.,true,false,false,true,false,false,true,false,true,true,2026-08-18T09:43:51.196Z,2026-08-18T09:43:51.196Z
amb-tnwb-1787046231532-p5bwsz,West Bengal / Kolkata 108 Emergency Ambulance,West Bengal (all districts),local,government,medium,Government Emergency,108 (toll-free),"Statewide, West Bengal (origin point)",,,,Free 24/7 government emergency ambulance; use to reach a hospital before arranging a private interstate transfer to Tamil Nadu.,false,false,false,false,false,false,true,false,false,true,2026-08-18T09:43:51.532Z,2026-08-18T09:43:51.532Z
amb-tnwb-1787046232713-6hhzm2,Lifesavers Ambulance Services (Kolkata),Kolkata,train,private,large,Rail / Air / Neonatal-Paediatric Ambulance,+91 98912-33040,Kolkata (WB) -> Chennai/Coimbatore (TN),,,,"ICU-equipped rail ambulance via Indian Railways network; serves major Kolkata hospitals (Apollo, Fortis, AMRI, Medica, Peerless, Ruby, Desun, Woodlands).",true,false,true,true,false,false,true,false,true,true,2026-08-18T09:43:52.713Z,2026-08-18T09:43:52.713Z
amb-tnwb-1787046233041-cygslj,AyuSewa Road,Medium,local,private,medium,Kolkata (WB) -> Chennai (TN),Kolkata,Air & Train Ambulance,,,,Yes,false,true,false,false,true,false,false,true,false,true,2026-08-18T09:43:53.041Z,2026-08-18T09:43:53.041Z
amb-tnwb-1787046234220-x7y39t,Med Cab Ambulance (Kolkata/West Bengal),Kolkata,flight,private,medium,"Road, ICU / Air Ambulance",1800-890-8208 (toll-free),Kolkata (WB) -> Chennai (TN),,,,,true,false,false,false,true,true,true,true,true,false,2026-08-18T09:43:54.220Z,2026-08-18T09:43:54.220Z
amb-tnwb-1787046234552-pm47w1,Poddar Ambulance Service,Kolkata & surrounding WB,local,private,small,"Road, ICU Ambulance",Check website for current number,Kolkata (WB) -> Chennai (TN),,,,"ICU ambulance with advanced life support (ventilators, defibrillators, oxygen); covers Kolkata and surrounding regions of West Bengal.",true,false,false,true,false,false,true,false,true,true,2026-08-18T09:43:54.552Z,2026-08-18T09:43:54.552Z
amb-tnwb-1787046235733-3fezni,GoAid Ambulance Service,"Kolkata, Howrah, Durgapur, Asansol",flight,government,medium,Road (BLS/ALS/ICU Ventilator) / Air,8008280020,Kolkata / West Bengal -> Chennai (TN),,,,"Government-aligned pricing; covers major West Bengal cities; offers air ambulance for long-distance critical transfers, plus dead body ambulance service.",true,false,false,true,false,false,true,true,true,true,2026-08-18T09:43:55.733Z,2026-08-18T09:43:55.733Z
amb-tnwb-1787046236070-h0jtr0,Panchmukhi Air & Train Ambulance (Kolkata),Kolkata,train,private,large,Air / Train Ambulance,Check website for current number,Kolkata (WB) -> Chennai (TN),,,,"Kolkata branch office: Ba-7, 101 Shanti Pally, Rajdanga Main Road, Near Acropolis Mall, Kolkata-700021.",true,false,false,true,false,false,true,false,true,true,2026-08-18T09:43:56.070Z,2026-08-18T09:43:56.070Z
amb-tnwb-1787046237274-vmgs11,Zenzo Train Ambulance,Multi-city (Pan-India),train,private,large,Train Ambulance (bed-to-bed),Check website for current number,West Bengal -> Chennai (TN),,,,"Full bed-to-bed coordination: road pickup, rail transfer, hospital handover; live vitals updates shared with receiving hospital.",true,false,false,true,false,false,true,false,true,true,2026-08-18T09:43:57.274Z,2026-08-18T09:43:57.274Z
amb-tnwb-1787046992620-bk6ypy,Last Journey Funeral Services,Chennai,local,private,medium,Mortuary Van / Hearse,Check website for current number,Local & Interstate,,,,,false,false,false,false,false,false,false,true,true,false,2026-08-18T09:56:32.621Z,2026-08-18T09:56:32.622Z
amb-tnwb-1787046996285-383bl2,Last Paths,Chennai,local,private,medium,Dead Body Ambulance,Check website for current number,Local & Interstate,,,,,false,false,false,false,false,false,false,true,true,false,2026-08-18T09:56:36.285Z,2026-08-18T09:56:36.285Z
amb-tnwb-1787046997424-2837ad,Vayu Ambulance,Chennai,flight,private,medium,Road / Air Repatriation,Check website for current number,Local & Interstate,,,,,false,false,false,false,false,false,false,true,true,false,2026-08-18T09:56:37.424Z,2026-08-18T09:56:37.424Z
amb-tnwb-1787046998064-vllluv,Falc Emergency Dead Body Ambulance,Chennai,local,private,medium,Mortuary Ambulance,Check website for current number,Local & Interstate,,,,,false,false,false,false,false,false,false,true,true,false,2026-08-18T09:56:38.064Z,2026-08-18T09:56:38.064Z
amb-tnwb-1787046999289-crv652,Swarga Rath Kolkata,Kolkata,local,private,medium,Hearse / Mortuary,+91-8582889996,Local & Interstate,,,,,false,false,false,false,false,false,false,true,true,false,2026-08-18T09:56:39.289Z,2026-08-18T09:56:39.289Z
amb-tnwb-1787046999647-rl9ue7,Antimsathi Hearse & Mortuary Van,Kolkata,local,private,medium,Mortuary Van,+91-9836010777,Local,,,,,false,false,false,false,false,false,false,true,true,false,2026-08-18T09:56:39.647Z,2026-08-18T09:56:39.647Z
amb-tnwb-1787047000875-aoysvq,Ambulanceia,Kolkata,local,private,medium,Mortuary Ambulance,+91-8285585911,Local,,,,,false,false,false,false,false,false,false,true,true,false,2026-08-18T09:56:40.875Z,2026-08-18T09:56:40.875Z
amb-tnwb-1787047001241-pyzcbs,Anthyesti Funeral Service,Kolkata,train,private,medium,Road / Air / Train Hearse,+91-98833-18181,Local & Interstate,,,,,false,false,false,false,false,false,false,true,true,false,2026-08-18T09:56:41.241Z,2026-08-18T09:56:41.241Z
amb-tnwb-1787047002548-zxhnjg,Heavengate,Kolkata,local,private,medium,Mortuary Van,Check website for current number,Local,,,,,false,false,false,false,false,false,false,true,true,false,2026-08-18T09:56:42.549Z,2026-08-18T09:56:42.549Z
